wrong_errortype,correct_errortype,wrong_sentence,correct_sentence
FN,AGN,"For me this adventure was one of the best. It shows that, when all | member of a group work hard together, you can achieve a lot. ","For me this adventure was one of the best. It shows that, when all | members of a group work hard together, you can achieve a lot. "
AGV,M,"Firstly, I would like to say that the actor who played | was not the same one that I read about in the advertisement. ","Firstly, I would like to say that the actor who played | was not the same one that I read about in the advertisement. "
RP,MQ,"First of all, it was a great idea to put together different countries to organise this festival. However, there were only artists from six countries, not | as written in your advertisement. ","First of all, it was a great idea to put together different countries to organise this festival. However, there were only artists from six countries, not | as written in your advertisement. "
UD,UQ,"Also, I use my computer and the Internet very much in order to find | some information, do my projects and communicate with my friends. To talk to a friend from another city or country instantly online is really nice and exciting. I do not have to wait for a letter for days and I gain so much time too. ","Also, I use my computer and the Internet very much in order to find | information, do my projects and communicate with my friends. To talk to a friend from another city or country instantly online is really nice and exciting. I do not have to wait for a letter for days and I gain so much time too. "
UJ,UN,"Another complaint is about the time that the | musical show started , the . The advertisement said it started at 19:30, but it did not , we . We had to wait 45 minutes. It was terrible. ","Another complaint is about the time that the | show started , the . The advertisement said it started at 19:30, but it did not , we . We had to wait 45 minutes. It was terrible. "
AGN,CN,In the future people will be even more concerned about | pollutions and harmful UV-rays. So their clothes will have built-in protective filters to help them keep healthy. ,In the future people will be even more concerned about | pollution and harmful UV-rays. So their clothes will have built-in protective filters to help them keep healthy. 
TV,IV,Thank you for your lovely letter ? . I was really surprised to | heared I had won your competition. ,Thank you for your lovely letter ? . I was really surprised to | heard I had won your competition. 
RP,MV,"Finally, the telephone, except | apart from | a means of communication, is a means of socialisation. Nowadays we are very busy and we don't have free time to see our friends, but we can call them and talk or chat with them. Young people especially spend many hours on the telephone and that causes trouble for their parents. ","Finally, the telephone, except | apart from | being a means of communication, is a means of socialisation. Nowadays we are very busy and we don't have free time to see our friends, but we can call them and talk or chat with them. Young people especially spend many hours on the telephone and that causes trouble for their parents. "
TV,M,"One day, suddenly, a heavy storm came to our town. I went to the beach to check on our ship. My friends had gone there, too. We worried about it and we tried to pull it. It seemed to sink into the sea, but fortunately, the storm soon went away. Our ship was left on the beach. And our parents and teachers | , too . Because , because Pat had called them. Of course we couldn't play there after that. ","One day, suddenly, a heavy storm came to our town. I went to the beach to check on our ship. My friends had gone there, too. We worried about it and we tried to pull it. It seemed to sink into the sea, but fortunately, the storm soon went away. Our ship was left on the beach. And our parents and teachers | were there, too . Because , because Pat had called them. Of course we couldn't play there after that. "
RP,RQ,"I'm a tourist and I had a week's holiday in London | a few time ago. I had wanted to see the musical show that the Circle Theatre presented some nights ago; and the actor Danny Brook's performance. I went to the theatre at 19.30 but, to my surprise, the show started at 20:15 and so I couldn't remain there until the end because I had to leave London, with my group before the end of the show. The star, the actor Danny Brook, wasn't in the musical show but there was another actor, to my great disappointment. ","I'm a tourist and I had a week's holiday in London | some time ago. I had wanted to see the musical show that the Circle Theatre presented some nights ago; and the actor Danny Brook's performance. I went to the theatre at 19.30 but, to my surprise, the show started at 20:15 and so I couldn't remain there until the end because I had to leave London, with my group before the end of the show. The star, the actor Danny Brook, wasn't in the musical show but there was another actor, to my great disappointment. "
AGQ,RQ,"Technology creates for me a lot of new possibilities every day, and it also makes everything easier. If I want to know how a friend is, I just have to phone him; I can see how the world is getting on just by switching on the television, and I can cook in a | some minutes using the Microwave oven. ","Technology creates for me a lot of new possibilities every day, and it also makes everything easier. If I want to know how a friend is, I just have to phone him; I can see how the world is getting on just by switching on the television, and I can cook in a | few minutes using the Microwave oven. "
FN,AGN,"Many classes and activities are important in our school. But I have to make a choice in order to select from among them. The engineering engineering class seems to be the most important lesson. It uses a lot of techniques that we learn in other classes. It gives us knowledge useful for many school | club, like the ""marathon shell"" club or the robotics club. Besides it gives all the areas covered by a mechanical engineer and it is very important in a school where you will probably become a mechanical engineer. It lets us identify our abilities and the part of mechanics that we prefer. But there are other very important lessons (like English of course!) Actually, I have a regret , - there is no ethics lesson , . It would show us how to use our knowledge. ","Many classes and activities are important in our school. But I have to make a choice in order to select from among them. The engineering engineering class seems to be the most important lesson. It uses a lot of techniques that we learn in other classes. It gives us knowledge useful for many school | clubs, like the ""marathon shell"" club or the robotics club. Besides it gives all the areas covered by a mechanical engineer and it is very important in a school where you will probably become a mechanical engineer. It lets us identify our abilities and the part of mechanics that we prefer. But there are other very important lessons (like English of course!) Actually, I have a regret , - there is no ethics lesson , . It would show us how to use our knowledge. "
MD,MQ,"The solution could be an alternative way of making shops like the Internet . You can buy anything without | problem , this . This is a good thing although it prevents poor people from shopping by on the Internet , because you have to have a computer. ","The solution could be an alternative way of making shops like the Internet . You can buy anything without | any problem , this . This is a good thing although it prevents poor people from shopping by on the Internet , because you have to have a computer. "
DJ,IJ,"My tasks were very | specific . I had to help with the layout of the stage, which was very complicated, because there are so many cables, and weir and things going on at the same time. After that part was fully-functioning fully functioning I moved on to work backstage. ","My tasks were very | specific. I had to help with the layout of the stage, which was very complicated, because there are so many cables, and weir and things going on at the same time. After that part was fully-functioning fully functioning I moved on to work backstage. "
M,FV,"I think that a child does not like shopping because he often | waits, and I prefer to play with friends like these. They go shopping only if they haven't any clothes. ","I think that a child does not like shopping because he often | has to wait, and I prefer to play with friends like these. They go shopping only if they haven't any clothes. "
W,AS,"Fashion has made great progress since the early days. The variety of new fabrics, their colours and quality, make new fashion statements every day. And the clothes are getting smaller and smaller. In the early 90s it was in fashion for women to wear only skirts . Long , long ones actually, and for men to wear trousers. In the sixties, people wore clothes with flowers, big glasses, and jeans, and men had long painted hair. Nowadays women wear really short skirts, short t-shirts, short tops, and cut their hair short just like men. Boys pierce their bodies just like girls do . and vice versa. If this continues, the two lives will turn the one to the other and soon men will wear skirts. Clothes will get smaller ( ; | practically people won't be wearing any clothes). People will wear extreme . Clothes clothes which will be really lanky . People will wear all those clothes that expensive designers design but no one wears . ","Fashion has made great progress since the early days. The variety of new fabrics, their colours and quality, make new fashion statements every day. And the clothes are getting smaller and smaller. In the early 90s it was in fashion for women to wear only skirts . Long , long ones actually, and for men to wear trousers. In the sixties, people wore clothes with flowers, big glasses, and jeans, and men had long painted hair. Nowadays women wear really short skirts, short t-shirts, short tops, and cut their hair short just like men. Boys pierce their bodies just like girls do . and vice versa. If this continues, the two lives will turn the one to the other and soon men will wear skirts. Clothes will get smaller ( ; | people will be wearing practically no clothes). People will wear extreme . Clothes clothes which will be really lanky . People will wear all those clothes that expensive designers design but no one wears . "
RD,FD,"I had always wanted to be a theatre actress. I saved my pocket money to go to the theatre age of 15. During those years I had met Zuhal Olcoy. I had seen her every morning when I was going to school. Despite the fact that going to school by bus was easier than going by bicycle, I had preferred going to school by bicycle to going by bus. In that way I was able to see her every morning. The more I saw her, the more determined I became. At last I met her. She invited me to her play at the theatre. When I went to see her play, I really would love to be | a actress. She was the only person who encouraged me to be | a actress. ","I had always wanted to be a theatre actress. I saved my pocket money to go to the theatre age of 15. During those years I had met Zuhal Olcoy. I had seen her every morning when I was going to school. Despite the fact that going to school by bus was easier than going by bicycle, I had preferred going to school by bicycle to going by bus. In that way I was able to see her every morning. The more I saw her, the more determined I became. At last I met her. She invited me to her play at the theatre. When I went to see her play, I really would love to be | an actress. She was the only person who encouraged me to be | an actress. "
MV,MC,"Therefore, people who are over 18 can think of more reasons than young children | for shopping and buying such tempting objects. To sum up, shopping is not a bad thing to do as long as you can earn money yourself and know why you are spending it ! ","Therefore, people who are over 18 can think of more reasons than young children | can for shopping and buying such tempting objects. To sum up, shopping is not a bad thing to do as long as you can earn money yourself and know why you are spending it ! "
RP,FJ,"THE CROWD WENT CRAZY DURING THE | 2 HOURS CONCERT AND I HELPED AS WELL, SELLING CDS , - IF THEY GO ON SELLING THAT MANY, THEY ARE GOING TO BE VERY FAMOUS FOR SURE ..... ","THE CROWD WENT CRAZY DURING THE | 2 HOUR CONCERT AND I HELPED AS WELL, SELLING CDS , - IF THEY GO ON SELLING THAT MANY, THEY ARE GOING TO BE VERY FAMOUS FOR SURE ..... "
UD,U,"It is recommended that something should be filmed about Maths, English study skills, make brain up and | a part of playing football. ","It is recommended that something should be filmed about Maths, English study skills, make brain up and | playing football. "
UV,UD,"After all the inconvenience that made me feel really mad. I think I can forgive your theatre, only only forgive your theatre if you give me a refund of the money I spent there, and some | other more for all the problems I had. ","After all the inconvenience that made me feel really mad. I think I can forgive your theatre, only only forgive your theatre if you give me a refund of the money I spent there, and some | more for all the problems I had. "
RP,DN,An | admiree ,An | admirer 
RP,M,"First, thank you for your programme. It is very varied and interesting. We all like it. But last week we saw an advertisement for the London Fashion and Leisure Show. This presentation will show the latest fashions and leisure and sports wear. We would be very interested in seeing English fashion. At this show we could see different new | make-up and hairstyles. ","First, thank you for your programme. It is very varied and interesting. We all like it. But last week we saw an advertisement for the London Fashion and Leisure Show. This presentation will show the latest fashions and leisure and sports wear. We would be very interested in seeing English fashion. At this show we could see different new | make-up and hairstyles. "
RP,FV,"3 When you are ready to shop, sometimes you know beforehand what is your priority , because probably you need one thing rather than another. But the best thing that we do, when we go | shop is spend time having lunch at a snack bar, watching movies and playing computer games. ","3 When you are ready to shop, sometimes you know beforehand what is your priority , because probably you need one thing rather than another. But the best thing that we do, when we go | shopping is spend time having lunch at a snack bar, watching movies and playing computer games. "
FN,CN,"The fashion in nowaday | clothings just keeps on changing. Although some may appear again after a few years, different styles are developed. ","The fashion in nowaday | clothing just keeps on changing. Although some may appear again after a few years, different styles are developed. "
CN,FN,Is there a chance to stay in a log cabin. I sometimes have | troubles with backache when I can't sleep on a flat surface. ,Is there a chance to stay in a log cabin. I sometimes have | trouble with backache when I can't sleep on a flat surface. 
AGN,FN,"On the other hand, the effects that it has on our daily life are not always good as sometimes , the technology goes wrong and out of hand of people who control it can cause disastrous accidents, for example: plane crashes, train crashes and the explosion of nuclear bombs. If this continues to happen our life will be very miserable as | accident happen all the time. Therefore, it is important to get it exactly right. ","On the other hand, the effects that it has on our daily life are not always good as sometimes , the technology goes wrong and out of hand of people who control it can cause disastrous accidents, for example: plane crashes, train crashes and the explosion of nuclear bombs. If this continues to happen our life will be very miserable as | accidents happen all the time. Therefore, it is important to get it exactly right. "
UP,RP,"Lastly, I'm interested in the | law's schools in California , they . They are very famous here. ","Lastly, I'm interested in the | law schools in California , they . They are very famous here. "
IV,DV,"One of the most positive aspects of your festival is the price of your weekend ticket. As a student, the low priced ticket certainly | athacted me a lot and gave me the opportunity to see and hear wonderful artists. ","One of the most positive aspects of your festival is the price of your weekend ticket. As a student, the low priced ticket certainly | attracted me a lot and gave me the opportunity to see and hear wonderful artists. "
TV,RP,"First of all, | Would you give me an explaination about the London fashion and Leisure show? We think that the show might be a great opportunity for most of us who are interested in fashion and leisure. ","First of all, | would you give me an explaination about the London fashion and Leisure show? We think that the show might be a great opportunity for most of us who are interested in fashion and leisure. "
M,MN,"The hotel which we have reserved for your group is the Palace Hotel. It is not far from our college, taking 20 minutes by car. It would be a good idea to take a taxi from the hotel to the college because the total | members in your group is 4 and a taxi fare would not be expensive. There is a taxi rank opposite the hotel. ","The hotel which we have reserved for your group is the Palace Hotel. It is not far from our college, taking 20 minutes by car. It would be a good idea to take a taxi from the hotel to the college because the total | number of members in your group is 4 and a taxi fare would not be expensive. There is a taxi rank opposite the hotel. "
RA,AGA,"First of all, I think we have grown up with technology. It's difficult for us to recognise the changes in our lives, but we can think about | it. How has it changed my daily life? Well, in one word it made my life more comfortable. Now I only need to push a button, and things or machines work on their own. Homework is easier to do with the computer than with a book sometimes. Everything is faster, and sometimes technology goes so fast that I'm unable to follow it. Modern technology showed us that we could do anything we wanted to, and it makes us think more about our future jobs. Maybe, I won't be able to understand how the things work and that scares me , . I will be useless, because a machine will do all the work. ","First of all, I think we have grown up with technology. It's difficult for us to recognise the changes in our lives, but we can think about | them. How has it changed my daily life? Well, in one word it made my life more comfortable. Now I only need to push a button, and things or machines work on their own. Homework is easier to do with the computer than with a book sometimes. Everything is faster, and sometimes technology goes so fast that I'm unable to follow it. Modern technology showed us that we could do anything we wanted to, and it makes us think more about our future jobs. Maybe, I won't be able to understand how the things work and that scares me , . I will be useless, because a machine will do all the work. "
FV,DV,Your letter indicates that the prize covers some costs . Nevertheless I would like you to | precise what I eventually need for this trip. ,Your letter indicates that the prize covers some costs . Nevertheless I would like you to | detail what I eventually need for this trip. 
FD,RP,"It wasn't very exciting work but you could meet a lot of pop Artists, which was the good thing about it because they gave away their t-shirts T-shirts , also I could chat with them for a few minutes. | another good thing was that all the people wanted to be in your place and they were very jealous of me. ","It wasn't very exciting work but you could meet a lot of pop Artists, which was the good thing about it because they gave away their t-shirts T-shirts , also I could chat with them for a few minutes. | Another good thing was that all the people wanted to be in your place and they were very jealous of me. "
MY,MA,"Really? Sometimes things can go wrong and the situation changes and becomes a nightmare. Firstly | is the parking problem , if . If you go shopping late at weekends for instance, it's really difficult to find a place to park your car, and when you get a place, you have to pay for it! Then the search for a nice item of clothing starts, and when eventually you get it, it isn't your size, and also the colour that you like is not available. Finally you've found something really wonderful , - time to pay! ","Really? Sometimes things can go wrong and the situation changes and becomes a nightmare. Firstly | there is the parking problem , if . If you go shopping late at weekends for instance, it's really difficult to find a place to park your car, and when you get a place, you have to pay for it! Then the search for a nice item of clothing starts, and when eventually you get it, it isn't your size, and also the colour that you like is not available. Finally you've found something really wonderful , - time to pay! "
FN,AGN,"As I'm an art student at a particular College, I can only go to Camp California in July, because in that month I haven't got any | class, and I'm free to do whatever I want to. I'd like a log cabin for my accommodation, because it's safer and cleaner than a tent and I wouldn't share it with anyone. ","As I'm an art student at a particular College, I can only go to Camp California in July, because in that month I haven't got any | classes, and I'm free to do whatever I want to. I'd like a log cabin for my accommodation, because it's safer and cleaner than a tent and I wouldn't share it with anyone. "
FN,AGN,"A telephone is used when we need to contact someone, and also in emergency situations and for the Internet. It has various ways to use , however . However , nowadays it is not only used for these | purpose, but also it keeps us company. If you feel lonely, you can talk and hear from your friends easily. Then it makes you happy. ","A telephone is used when we need to contact someone, and also in emergency situations and for the Internet. It has various ways to use , however . However , nowadays it is not only used for these | purposes, but also it keeps us company. If you feel lonely, you can talk and hear from your friends easily. Then it makes you happy. "
RP,W,"As for other activities, we could probably show one of our sports teams training. For example, the | team basketball which has won the student regional title (we can also say that) or the football team. After all, it is not important which one we will show . , but I think we must create a good picture of the school through sport. ","As for other activities, we could probably show one of our sports teams training. For example, the | basketball team which has won the student regional title (we can also say that) or the football team. After all, it is not important which one we will show . , but I think we must create a good picture of the school through sport. "
RA,AGA,"I was going to the chemist to buy some eye-shadow, when I saw black, suede shoes. Those shoes must be mine! - I thought. I went in and I asked the shop assistant if I could try | it on. ","I was going to the chemist to buy some eye-shadow, when I saw black, suede shoes. Those shoes must be mine! - I thought. I went in and I asked the shop assistant if I could try | them on. "
DN,DJ,"If you want to buy something, especially clothes, the shopping mall, which is called 'COEX mall', will be the best place: very cheap and lots of | designed clothes. ","If you want to buy something, especially clothes, the shopping mall, which is called 'COEX mall', will be the best place: very cheap and lots of | designer clothes. "
RA,DA,To conclude I think the most difficult situations allow us to discover | ourself getting out of | ourself. ,To conclude I think the most difficult situations allow us to discover | ourselves getting out of | ourselves. 
AGN,FN,"The accommodation that best suits me is the | log cabins, as the space in tents is very limited and I am not used to having all my belongings in order and packed at all times. ","The accommodation that best suits me is the | log cabin, as the space in tents is very limited and I am not used to having all my belongings in order and packed at all times. "
FN,AGN,"By the way, I did a lot of things at that concert. I had to connect with people who were responsible for ticket. They had to check when people came in the hall and I was checking the tickets as well. You know, you have to very strongly when you have to do that because when people came in they couldn't wait to get to the front and they try to go through very quickly. So you have to explain a lot of | time to make people calm down and stand in a row. It was very hard for me and I won't do it again. ","By the way, I did a lot of things at that concert. I had to connect with people who were responsible for ticket. They had to check when people came in the hall and I was checking the tickets as well. You know, you have to very strongly when you have to do that because when people came in they couldn't wait to get to the front and they try to go through very quickly. So you have to explain a lot of | times to make people calm down and stand in a row. It was very hard for me and I won't do it again. "
AGN,FN,"Therefore, in the future fashion might be changed a lot. I think people will wear metal clothes like in Robotcap. The environment will be very polluted and finally we'll get | disease . We will need helmets to cover our heads and we will also need air-supplyer . ","Therefore, in the future fashion might be changed a lot. I think people will wear metal clothes like in Robotcap. The environment will be very polluted and finally we'll get | diseases. We will need helmets to cover our heads and we will also need air-supplyer . "
UV,UQ,"As I understand, it is very important to confirm the date of my trip. I would rather choose July because it is the only | one month when I have got holiday , long enough to spend it travelling abroad. ","As I understand, it is very important to confirm the date of my trip. I would rather choose July because it is the only | month when I have got holiday , long enough to spend it travelling abroad. "
RD,AGD,"We can consider this problem from two different points of view. On the one hand, | this people chose to become public figures. If we don't want to be in the newspapers, we don't go into politics or the movies! But, on the other hand, everybody has the right to have a secret garden, the right to be with his/her family without being disturbed by journalists and photographers. The case of Princess Diana showed how this problem can reach extremes. ","We can consider this problem from two different points of view. On the one hand, | these people chose to become public figures. If we don't want to be in the newspapers, we don't go into politics or the movies! But, on the other hand, everybody has the right to have a secret garden, the right to be with his/her family without being disturbed by journalists and photographers. The case of Princess Diana showed how this problem can reach extremes. "
MD,MQ,"First of all on Tuesday we will all go to the show and spend all day there, but on Wednesday in the afternoon when we have | free time we can go to the Science Museum, if you don't mind, of course. ","First of all on Tuesday we will all go to the show and spend all day there, but on Wednesday in the afternoon when we have | some free time we can go to the Science Museum, if you don't mind, of course. "
RA,AGA,"I am very excited and looking forward to the new experience I am going to have. First of all I must tell you that I only have free time in July - on any day, any week , - because I am still having my lessons at college and they will be finished at the end of June, and also in August I have a training course for my studies. I would prefer to stay in tents because I love the atmosphere of camping, but I wouldn't mind staying in log cabins. For the two activities I can choose, I would like to do swimming and Basketball. I have always found these kinds of activity make me feel strong and I enjoy doing them. I first started playing basketball and swimming when I was aged 9, and I have been doing | it up till now. I was also in a basketball team in school for 3 years. ","I am very excited and looking forward to the new experience I am going to have. First of all I must tell you that I only have free time in July - on any day, any week , - because I am still having my lessons at college and they will be finished at the end of June, and also in August I have a training course for my studies. I would prefer to stay in tents because I love the atmosphere of camping, but I wouldn't mind staying in log cabins. For the two activities I can choose, I would like to do swimming and Basketball. I have always found these kinds of activity make me feel strong and I enjoy doing them. I first started playing basketball and swimming when I was aged 9, and I have been doing | both up till now. I was also in a basketball team in school for 3 years. "
UC,UA,"I recently had a week's holiday in London, and, during my stay, I went to your theatre to see ""Over the Rainbow"" because I had seen an advertisement for this show and I was really interested in seeing it for many reasons, one of the reasons is that I love the star, Danny Brook. And I would like | that you to know that I have had a very disappointing evening, due to the differences between the advertisement and the show that I saw. ","I recently had a week's holiday in London, and, during my stay, I went to your theatre to see ""Over the Rainbow"" because I had seen an advertisement for this show and I was really interested in seeing it for many reasons, one of the reasons is that I love the star, Danny Brook. And I would like | you to know that I have had a very disappointing evening, due to the differences between the advertisement and the show that I saw. "
MC,MY,"The place | we worked was a football pitch; we spent 3 days setting up the stage, the equipment, and the lights. In fact, there was nothing very important I did, because we were not the right people to do it. I only put the speakers in the right places, or helped the engineers test the lights. ","The place | where we worked was a football pitch; we spent 3 days setting up the stage, the equipment, and the lights. In fact, there was nothing very important I did, because we were not the right people to do it. I only put the speakers in the right places, or helped the engineers test the lights. "
MA,MY,"Sir, I returned very unhappy from my holidays. The reason is that the musical show that I had seen with my wife, first of all, started late. We bought tickets for the second show, which was at 19.30 and it started at 20:15! We were interested in seeing the actors that appeared on the tickets and I was very disappointed when, in the show, we saw other actors. The tickets were more expensive than we had expected, but we didn't care because we saw on the tickets that | would be discounts given, but, they didn't give us discounts! With all these problems, the only thing that kept us going , was the thought of eating something. When the show finished we went to the theatre restaurant and it was closed because the staff didn't go to work that day. ","Sir, I returned very unhappy from my holidays. The reason is that the musical show that I had seen with my wife, first of all, started late. We bought tickets for the second show, which was at 19.30 and it started at 20:15! We were interested in seeing the actors that appeared on the tickets and I was very disappointed when, in the show, we saw other actors. The tickets were more expensive than we had expected, but we didn't care because we saw on the tickets that | there would be discounts given, but, they didn't give us discounts! With all these problems, the only thing that kept us going , was the thought of eating something. When the show finished we went to the theatre restaurant and it was closed because the staff didn't go to work that day. "
UD,UC,"If you don't work and you have plenty of time going shopping is really enjoyable, because there are big shopping centres in which you can find so many different things. There are new products which you could not imagine | that could be so interesting. Shopping is a good way to kill time and sometimes you do not realize how fast the time goes. This happens because people are enjoying themselves a lot. ","If you don't work and you have plenty of time going shopping is really enjoyable, because there are big shopping centres in which you can find so many different things. There are new products which you could not imagine | could be so interesting. Shopping is a good way to kill time and sometimes you do not realize how fast the time goes. This happens because people are enjoying themselves a lot. "
RP,TV,If you could reply to my letter by the 28th of June | I'll be grateful because I have to give information about my holiday dates to my company. ,If you could reply to my letter by the 28th of June | I'd be grateful because I have to give information about my holiday dates to my company. 
DN,RA,"On the 12th of June this year I went to London to visit a friend of mine. We had a great time together until we decided to visit the musical ""Over the Rainbow"" at the ""Circle Theatre"". We went there at 19.00 o'clock to get some tickets, but, when we arrived, a long line of people were standing there, waiting to get tickets. After we waited for half an hour to get two spare seat tickets, we had to wait 45 minutes until it started. One of the reasons why , I wanted to see the musical was my favourite actor Danny Brook, but he didn't appear! So when the miserable musical came to its end, we were happy to leave the theatre auditorium, but we both wanted to have dinner in the theatre restaurant, because no restaurants were open anymore, because it started too late. So we went upstairs to find the restaurant, but we just found a big empty hall, with nothing in it, with a small sign on a door: ""Sorry, we are closed for renovations""! We thought it was a joke, but it wasn't. Because you are the manager, I think you are the only person who can change | something. I would prefer to get my money back, instead of getting a lawyer. I will never visit your theatre again! ","On the 12th of June this year I went to London to visit a friend of mine. We had a great time together until we decided to visit the musical ""Over the Rainbow"" at the ""Circle Theatre"". We went there at 19.00 o'clock to get some tickets, but, when we arrived, a long line of people were standing there, waiting to get tickets. After we waited for half an hour to get two spare seat tickets, we had to wait 45 minutes until it started. One of the reasons why , I wanted to see the musical was my favourite actor Danny Brook, but he didn't appear! So when the miserable musical came to its end, we were happy to leave the theatre auditorium, but we both wanted to have dinner in the theatre restaurant, because no restaurants were open anymore, because it started too late. So we went upstairs to find the restaurant, but we just found a big empty hall, with nothing in it, with a small sign on a door: ""Sorry, we are closed for renovations""! We thought it was a joke, but it wasn't. Because you are the manager, I think you are the only person who can change | anything. I would prefer to get my money back, instead of getting a lawyer. I will never visit your theatre again! "
TV,UP,"The purpose of this is to give information to the American students , describing Po Lin Temple, which is | worth-visited . ","The purpose of this is to give information to the American students , describing Po Lin Temple, which is | worth visited . "
FV,UT,After explaining my complaints to you I hope you | to send me some money back. ,After explaining my complaints to you I hope you | send me some money back. 
UC,UY,I did not have a perfect evening at all and I would like to ask you to return my money | back. ,I did not have a perfect evening at all and I would like to ask you to return my money | . 
UD,RP,"First of all, I'll tell you that on the day of the concert I woke up at 6:30 A.M a.m. , very early for me , you . You know me, I'm lazy , the . The work began around 8:30 , . It was very hard but then the band came to rehearse. From that moment I enjoyed working until the concert had finished , the . The atmosphere was wonderful, the musicians were very kind to | every one who was working because they understood that putting on a concert is a job to be done by a team. During the concert I listened to the band like everybody else, besides I earned money so, , so it was a wonderful experience. ","First of all, I'll tell you that on the day of the concert I woke up at 6:30 A.M a.m. , very early for me , you . You know me, I'm lazy , the . The work began around 8:30 , . It was very hard but then the band came to rehearse. From that moment I enjoyed working until the concert had finished , the . The atmosphere was wonderful, the musicians were very kind to | everyone who was working because they understood that putting on a concert is a job to be done by a team. During the concert I listened to the band like everybody else, besides I earned money so, , so it was a wonderful experience. "
RA,AGA,"In my life the car has an enormous influence. I come from a rural area. The next city is 15 km away and there is no acceptable bus - or rail connection to go there. It was quite hard for me not to have the opportunities for my free time like my friends | that lived in or near the city. I just had no way to meet them after school, because I had no vehicle to get there. I always needed my Mom or my Dad to take me where I wanted to go. ","In my life the car has an enormous influence. I come from a rural area. The next city is 15 km away and there is no acceptable bus - or rail connection to go there. It was quite hard for me not to have the opportunities for my free time like my friends | who lived in or near the city. I just had no way to meet them after school, because I had no vehicle to get there. I always needed my Mom or my Dad to take me where I wanted to go. "
W,FJ,"Indeed, modernisation helps us to lead a | comfortable and better life than before. For example, cars , and planes are wonderful inventions! A few centuries ago, it took many hours (even several days) to go from one city to another or to travel abroad. People couldn't think of such innovation in our world and yet, it was created. Mankind became more and more clever and built wonderful things thanks to his thoughts and his hands. ","Indeed, modernisation helps us to lead a | more comfortable and better life than before. For example, cars , and planes are wonderful inventions! A few centuries ago, it took many hours (even several days) to go from one city to another or to travel abroad. People couldn't think of such innovation in our world and yet, it was created. Mankind became more and more clever and built wonderful things thanks to his thoughts and his hands. "
IQ,IJ,"It is comfortable, not too big with a lot of carpets and | antiques objects, for example, pottery, my bed, and a wardrobe of my grandmother's. ","It is comfortable, not too big with a lot of carpets and | antique objects, for example, pottery, my bed, and a wardrobe of my grandmother's. "
UC,UA,"Finally, to make matters worse, your restaurant had already closed after finishing the show so I could not eat anything. You mentioned | that ""Your perfect evening out!"" in your advert. but it was absolutely not true! ","Finally, to make matters worse, your restaurant had already closed after finishing the show so I could not eat anything. You mentioned | ""Your perfect evening out!"" in your advert. but it was absolutely not true! "
RA,AGA,"Science and technology can also be used to produce some materials, e.g. steel or iron, which are used in our buildings , they . They can make | it stronger and hard to destroy. ","Science and technology can also be used to produce some materials, e.g. steel or iron, which are used in our buildings , they . They can make | them stronger and hard to destroy. "
AGD,RQ,"For example, | any shops are too busy to enjoy shopping in at weekends. Sometimes customers' trolleys run into each other and they have to wait ages to go through check-ins. What's worse, there is usually a traffic jam around or along roads to a big supermarket and a shopping mall. And if an accident takes place on the roads, it can be a nightmare. So I prefer shopping on weekdays unless I am busy or have an appointment. ","For example, | all shops are too busy to enjoy shopping in at weekends. Sometimes customers' trolleys run into each other and they have to wait ages to go through check-ins. What's worse, there is usually a traffic jam around or along roads to a big supermarket and a shopping mall. And if an accident takes place on the roads, it can be a nightmare. So I prefer shopping on weekdays unless I am busy or have an appointment. "
RP,TV,Will we all live in the countryside in houses surrounded by forest full of animal life? Or would our house itself be alive? With new computer technology nothing is impossible. A scientist could discover the 4th dimension and | we'll get unlimited space inside the house. ,Will we all live in the countryside in houses surrounded by forest full of animal life? Or would our house itself be alive? With new computer technology nothing is impossible. A scientist could discover the 4th dimension and | we'd get unlimited space inside the house. 
MN,MQ,"There was an old married couple. They had no children. One day, the lady went to a river to wash their clothes and the man went to a mountain to cut trees. In a bamboo forest, he found a shining | bamboo. When he cut it, he found a beautiful baby girl in it. She was named the bamboo princess. ","There was an old married couple. They had no children. One day, the lady went to a river to wash their clothes and the man went to a mountain to cut trees. In a bamboo forest, he found a shining | piece of bamboo. When he cut it, he found a beautiful baby girl in it. She was named the bamboo princess. "
